Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Tree AI,Random AI,"(2, 2)","(4, 0)",Stalemate,0.5,0.5,27,2,25,7344
2,Random AI,Tree AI,"(2, 2)","(4, 6)",Black - Tree AI,1.5,0.5,15,39,-24,3969
3,Random AI,Tree AI,"(3, 3)","(4, 1)",Black - Tree AI,2.5,0.5,4,34,-30,4171
4,Tree AI,Random AI,"(3, 2)","(5, 3)",White - Tree AI,3.5,0.5,28,20,8,5222
5,Random AI,Tree AI,"(2, 1)","(5, 1)",Black - Tree AI,4.5,0.5,22,38,-16,1877
6,Tree AI,Random AI,"(3, 5)","(4, 2)",Stalemate,5,1,35,1,34,5272
7,Random AI,Tree AI,"(2, 1)","(5, 0)",Black - Tree AI,6,1,10,38,-28,3256
8,Tree AI,Random AI,"(3, 6)","(4, 2)",White - Tree AI,7,1,37,2,35,4462
9,Tree AI,Random AI,"(3, 7)","(4, 7)",White - Tree AI,8,1,38,14,24,2092
10,Random AI,Tree AI,"(3, 6)","(4, 3)",Black - Tree AI,9,1,3,38,-35,5488
11,Random AI,Tree AI,"(3, 5)","(5, 7)",Stalemate,9.5,1.5,1,38,-37,3473
12,Random AI,Tree AI,"(2, 4)","(4, 6)",Black - Tree AI,10.5,1.5,5,36,-31,3374
13,Random AI,Tree AI,"(2, 2)","(4, 3)",Stalemate,11,2,0,35,-35,4108
14,Tree AI,Random AI,"(3, 1)","(5, 6)",Stalemate,11.5,2.5,33,0,33,9767
15,Random AI,Tree AI,"(3, 4)","(4, 6)",Black - Tree AI,12.5,2.5,13,37,-24,3823
16,Random AI,Tree AI,"(3, 1)","(4, 1)",Black - Tree AI,13.5,2.5,5,39,-34,4419
17,Tree AI,Random AI,"(3, 3)","(4, 4)",Stalemate,14,3,31,0,31,11339
18,Random AI,Tree AI,"(3, 1)","(5, 4)",Black - Tree AI,15,3,12,37,-25,4725
19,Tree AI,Random AI,"(3, 7)","(4, 5)",White - Tree AI,16,3,34,2,32,9544
