Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Tree AI,Random AI,"(3, 2)","(5, 1)",Stalemate,0.5,0.5,38,0,38,6134
2,Tree AI,Random AI,"(2, 5)","(5, 3)",White - Tree AI,1.5,0.5,34,6,28,5705
3,Tree AI,Random AI,"(3, 2)","(5, 3)",Stalemate,2.0,1.0,38,1,37,5222
4,Tree AI,Random AI,"(3, 2)","(5, 2)",Stalemate,2.5,1.5,37,0,37,6956
5,Tree AI,Random AI,"(2, 7)","(5, 5)",Stalemate,3.0,2.0,38,1,37,7283
6,Random AI,Tree AI,"(2, 3)","(4, 4)",Black - Tree AI,4.0,2.0,9,35,-26,4517
7,Tree AI,Random AI,"(2, 4)","(4, 7)",White - Tree AI,5.0,2.0,38,4,34,4322
8,Random AI,Tree AI,"(2, 0)","(5, 0)",Black - Tree AI,6.0,2.0,17,39,-22,1636
9,Random AI,Tree AI,"(3, 6)","(5, 7)",Stalemate,6.5,2.5,0,37,-37,6388
10,Random AI,Tree AI,"(3, 7)","(4, 2)",Black - Tree AI,7.5,2.5,4,35,-31,5109
11,Random AI,Tree AI,"(2, 4)","(5, 7)",Stalemate,8.0,3.0,0,38,-38,7974
12,Random AI,Tree AI,"(3, 7)","(4, 3)",Black - Tree AI,9.0,3.0,18,39,-21,3295
13,Random AI,Tree AI,"(3, 3)","(5, 0)",Stalemate,9.5,3.5,0,24,-24,7110
14,Tree AI,Random AI,"(3, 4)","(5, 4)",White - Tree AI,10.5,3.5,39,34,5,3727
15,Random AI,Tree AI,"(3, 5)","(5, 2)",Stalemate,11.0,4.0,1,35,-34,8406
16,Tree AI,Random AI,"(2, 0)","(5, 7)",White - Tree AI,12.0,4.0,30,0,30,7976
17,Random AI,Tree AI,"(3, 6)","(5, 4)",Black - Tree AI,13.0,4.0,17,38,-21,4477
18,Random AI,Tree AI,"(3, 7)","(5, 3)",Black - Tree AI,14.0,4.0,16,39,-23,2740
19,Random AI,Tree AI,"(3, 2)","(5, 5)",Black - Tree AI,15.0,4.0,10,38,-28,3900
20,Tree AI,Random AI,"(2, 7)","(4, 7)",White - Tree AI,16.0,4.0,39,20,19,1662
21,Tree AI,Random AI,"(3, 2)","(4, 6)",Stalemate,16.5,4.5,38,0,38,11047
22,Tree AI,Random AI,"(2, 4)","(4, 2)",White - Tree AI,17.5,4.5,38,14,24,5711
23,Random AI,Tree AI,"(3, 5)","(5, 1)",Stalemate,18.0,5.0,2,35,-33,4573
24,Random AI,Tree AI,"(2, 3)","(4, 3)",Stalemate,18.5,5.5,3,39,-36,4637
25,Random AI,Tree AI,"(2, 4)","(5, 3)",Black - Tree AI,19.5,5.5,4,38,-34,3098
26,Random AI,Tree AI,"(3, 0)","(5, 2)",Black - Tree AI,20.5,5.5,14,35,-21,3697
27,Random AI,Tree AI,"(2, 4)","(4, 3)",Black - Tree AI,21.5,5.5,15,36,-21,2042
28,Tree AI,Random AI,"(2, 5)","(4, 4)",White - Tree AI,22.5,5.5,38,9,29,5428
29,Random AI,Tree AI,"(3, 3)","(5, 7)",Stalemate,23.0,6.0,4,37,-33,3526
30,Tree AI,Random AI,"(2, 1)","(4, 5)",White - Tree AI,24.0,6.0,39,8,31,5436
31,Random AI,Tree AI,"(3, 4)","(5, 0)",Black - Tree AI,25.0,6.0,1,38,-37,2768
32,Random AI,Tree AI,"(3, 6)","(5, 1)",Black - Tree AI,26.0,6.0,10,38,-28,5928
33,Tree AI,Random AI,"(3, 7)","(5, 7)",White - Tree AI,27.0,6.0,38,3,35,7649
34,Random AI,Tree AI,"(3, 3)","(4, 1)",Stalemate,27.5,6.5,0,38,-38,6097
35,Random AI,Tree AI,"(3, 4)","(4, 1)",Stalemate,28.0,7.0,0,36,-36,6470
36,Random AI,Tree AI,"(2, 4)","(5, 5)",Stalemate,28.5,7.5,0,28,-28,4385
37,Random AI,Tree AI,"(3, 4)","(4, 5)",Black - Tree AI,29.5,7.5,17,39,-22,1823
