Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Tree AI,Random AI,"(2, 6)","(4, 1)",White - Tree AI,1,0,35,21,14,1858
2,Random AI,Tree AI,"(2, 4)","(5, 6)",Stalemate,1.5,0.5,0,25,-25,8642
3,Tree AI,Random AI,"(3, 3)","(5, 6)",White - Tree AI,2.5,0.5,38,12,26,6024
4,Random AI,Tree AI,"(3, 0)","(4, 4)",Stalemate,3.0,1.0,1,38,-37,6568
5,Tree AI,Random AI,"(2, 5)","(4, 0)",White - Tree AI,4.0,1.0,38,6,32,5217
6,Tree AI,Random AI,"(2, 0)","(5, 3)",Stalemate,4.5,1.5,37,2,35,4946
7,Random AI,Tree AI,"(3, 1)","(4, 4)",Stalemate,5.0,2.0,0,38,-38,6323
8,Tree AI,Random AI,"(3, 1)","(4, 2)",Stalemate,5.5,2.5,35,3,32,5013
9,Random AI,Tree AI,"(2, 1)","(4, 0)",Black - Tree AI,6.5,2.5,8,38,-30,4683
10,Random AI,Tree AI,"(2, 1)","(5, 4)",Black - Tree AI,7.5,2.5,17,39,-22,2732
11,Tree AI,Random AI,"(3, 0)","(5, 7)",White - Tree AI,8.5,2.5,35,1,34,3081
12,Random AI,Tree AI,"(3, 3)","(5, 3)",Black - Tree AI,9.5,2.5,1,39,-38,5148
13,Random AI,Tree AI,"(3, 1)","(5, 5)",Black - Tree AI,10.5,2.5,4,34,-30,3370
14,Tree AI,Random AI,"(2, 7)","(5, 6)",White - Tree AI,11.5,2.5,33,10,23,4899
15,Random AI,Tree AI,"(2, 5)","(4, 1)",Black - Tree AI,12.5,2.5,11,39,-28,3692
16,Random AI,Tree AI,"(3, 1)","(5, 1)",Stalemate,13.0,3.0,0,38,-38,5530
17,Tree AI,Random AI,"(2, 5)","(4, 6)",White - Tree AI,14.0,3.0,34,2,32,7580
18,Tree AI,Random AI,"(2, 4)","(4, 3)",White - Tree AI,15.0,3.0,38,34,4,1567
19,Random AI,Tree AI,"(2, 5)","(5, 3)",Stalemate,15.5,3.5,0,35,-35,4203
20,Random AI,Tree AI,"(3, 4)","(4, 3)",Black - Tree AI,16.5,3.5,3,38,-35,3918
