Game Number,Player 1,Player 2,Wall 1,Wall 2,Winner,Score Tree,Score Random,White Game Score,Black Game Score,Score Difference,Nodes Traversed
1,Tree AI,Random AI,"(2, 5)","(5, 6)",White - Tree AI,1,0,36,10,26,5169
2,Tree AI,Random AI,"(2, 2)","(4, 3)",Stalemate,1.5,0.5,38,3,35,3001
3,Random AI,Tree AI,"(2, 5)","(4, 7)",Black - Tree AI,2.5,0.5,4,37,-33,3200
4,Random AI,Tree AI,"(3, 1)","(4, 3)",Black - Tree AI,3.5,0.5,19,38,-19,2045
5,Tree AI,Random AI,"(3, 1)","(5, 1)",White - Tree AI,4.5,0.5,37,28,9,5492
6,Random AI,Tree AI,"(3, 7)","(5, 1)",Black - Tree AI,5.5,0.5,13,38,-25,2404
7,Tree AI,Random AI,"(3, 3)","(5, 4)",Stalemate,6.0,1.0,35,1,34,7223
8,Tree AI,Random AI,"(2, 5)","(5, 7)",White - Tree AI,7.0,1.0,37,4,33,4894
9,Tree AI,Random AI,"(2, 3)","(5, 5)",Stalemate,7.5,1.5,38,2,36,6881
10,Tree AI,Random AI,"(2, 5)","(4, 3)",White - Tree AI,8.5,1.5,37,16,21,5471
11,Random AI,Tree AI,"(2, 2)","(5, 1)",Black - Tree AI,9.5,1.5,15,38,-23,6392
12,Tree AI,Random AI,"(2, 4)","(4, 6)",Stalemate,10.0,2.0,35,6,29,6212
13,Tree AI,Random AI,"(3, 2)","(5, 7)",White - Tree AI,11.0,2.0,38,2,36,4650
14,Random AI,Tree AI,"(2, 6)","(5, 2)",Black - Tree AI,12.0,2.0,29,37,-8,2271
15,Tree AI,Random AI,"(3, 3)","(4, 5)",White - Tree AI,13.0,2.0,38,3,35,6654
16,Tree AI,Random AI,"(2, 1)","(4, 1)",Stalemate,13.5,2.5,37,0,37,6430
17,Tree AI,Random AI,"(3, 4)","(4, 2)",White - Tree AI,14.5,2.5,37,0,37,4340
18,Tree AI,Random AI,"(2, 3)","(5, 7)",Stalemate,15.0,3.0,38,0,38,8941
19,Random AI,Tree AI,"(2, 4)","(4, 4)",Black - Tree AI,16.0,3.0,9,33,-24,3955
